"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"shiny","shiny","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.2",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.0), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, digest, htmltools (>= 0.3.6), R6 (>= 2.0),
sourcetools, later (>= 0.7.2), promises (>= 1.0.1), tools,
crayon, rlang",NA,"datasets, Cairo (>= 1.5-5), testthat, knitr (>= 1.6),
markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0), magrittr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"shinyAce","shinyAce","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.0",NA,"R (>= 3.3.0)","shiny (>= 1.0.5), jsonlite",NA,"testthat (>= 2.0.0), dplyr (>= 0.8.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"shinycssloaders","shinycssloaders","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.0",NA,NA,"digest, glue, grDevices, shiny",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"shinydashboard","shinydashboard","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7.1",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"shinyFiles","shinyFiles","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7.3",NA,NA,"htmltools, jsonlite, tools, shiny (>= 1.1.0), fs (>= 1.2.6),
tibble (>= 1.4.2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"shinyjs","shinyjs","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), htmltools (>= 0.2.9), jsonlite, shiny (>=
1.0.0)",NA,"knitr (>= 1.7), rmarkdown, shinyAce, testthat (>= 0.9.1), V8
(>= 0.6)",NA,"AGPL-3",NA,NA,NA,NA,"no","3.5.3"
"shinyShortcut","shinyShortcut","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.2.3)",NA,NA,"testthat, covr",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"shinythemes","shinythemes","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.2",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"slam","slam","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-45",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","3.5.2"
"SnowballC","SnowballC","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.0",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"sourcetools","sourcetools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.7",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"sp","sp","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-1",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 0.8-7), rgeos (>= 0.3-13), gstat,
maptools, deldir",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"SparseM","SparseM","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.77",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"spatstat","spatstat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.60-1",NA,"R (>= 3.3.0), spatstat.data (>= 1.4-0), stats, graphics,
grDevices, utils, methods, nlme, rpart","spatstat.utils (>= 1.13-0), mgcv, Matrix, deldir (>= 0.0-21),
abind, tensor, polyclip (>= 1.10-0), goftest",NA,"sm, maptools, gsl, locfit, spatial, rpanel, tkrplot,
RandomFields (>= 3.1.24.1), RandomFieldsUtils(>= 0.3.3.1),
fftwtools (>= 0.9-8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"spatstat.data","spatstat.data","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-0",NA,"R (>= 3.3.0)","spatstat.utils",NA,"spatstat (>= 1.55-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"spatstat.utils","spatstat.utils","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.13-0",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"spelling","spelling","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1",NA,NA,"commonmark, xml2, hunspell (>= 3.0), knitr",NA,"pdftools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"spls","spls","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2-3",NA,"R (>= 2.14)","MASS, nnet, parallel, pls",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"sqldf","sqldf","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-11",NA,"R (>= 3.1.0), gsubfn (>= 0.6), proto, RSQLite","DBI, chron",NA,"RH2, RMySQL, RPostgreSQL, svUnit, tcltk, MASS",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"SQUAREM","SQUAREM","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2017.10-1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"stabledist","stabledist","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7-1",NA,"R (>= 3.1.0)","stats",NA,"Matrix, fBasics, FMStable, RUnit, Rmpfr, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"stars","stars","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3-1",NA,"R (>= 3.3.0), abind, sf (>= 0.7-3)","methods, parallel, classInt (>= 0.2-2), rlang, units",NA,"PCICt, RNetCDF (>= 1.8-2), covr, dplyr (>= 0.7-0),
future.apply, ggforce, ggplot2, ggthemes, gstat, httr,
jsonlite, knitr, lwgeom, maps, ncmeta (>= 0.0.3), pbapply, plm,
raster, rmarkdown, sp, spacetime, testthat, viridis, xts, zoo,
starsdata",NA,"Apache License",NA,NA,NA,NA,"no","3.5.3"
"startupmsg","startupmsg","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9.6",NA,"R(>= 1.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","3.5.3"
"stopwords","stopwords","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9.0",NA,"R (>= 2.10)","ISOcodes",NA,"quanteda, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"stringdist","stringdist","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9.5.2",NA,"R (>= 2.15.3)","parallel",NA,"tinytest",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"stringi","stringi","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.3",NA,"R (>= 2.14)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","3.5.3"
"stringr","stringr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"striprtf","striprtf","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.2",NA,"R (>= 3.0)","magrittr, Rcpp, stringr, utils","Rcpp","testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"strucchange","strucchange","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5-1",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats",NA,"stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.3"
"subcopem2D","subcopem2D","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"subselect","subselect","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.14",NA,NA,"MASS, ISwR, corpcor",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"superpc","superpc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.09",NA,"survival",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.3"
"survival","survival","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.44-1.1","recommended","R (>= 2.13.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"svglite","svglite","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.2",NA,"R (>= 3.0.0)","Rcpp, gdtools (>= 0.1.6)","Rcpp, gdtools, BH","htmltools, testthat, xml2 (>= 1.0.0), covr, fontquiver (>=
0.2.0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"svUnit","svUnit","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7-12",NA,"R (>= 1.9.0)",NA,NA,"svGUI, datasets, utils, XML",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"sys","sys","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.2",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"tables","tables","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8.8",NA,"R (>= 2.12.0), Hmisc","stats, utils, knitr",NA,"magrittr, kableExtra (>= 0.9.0)",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"taskscheduleR","taskscheduleR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4",NA,NA,"data.table, tools, utils",NA,"knitr, miniUI, shiny, testthat",NA,"AGPL-3",NA,NA,"windows",NA,"no","3.5.3"
"TeachingDemos","TeachingDemos","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.10",NA,NA,NA,NA,"tkrplot, lattice, MASS, rgl, tcltk, tcltk2, png, ggplot2,
logspline, maptools, R2wd, manipulate",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.5.3"
"tensor","tensor","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.2"
"tensorflow","tensorflow","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.13.1",NA,"R (>= 3.1)","config, jsonlite (>= 1.2), processx, reticulate (>= 1.10),
tfruns (>= 1.0), utils, yaml, rstudioapi (>= 0.7)",NA,"testthat, keras, tfestimators",NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.5.3"
"tesseract","tesseract","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","4.0",NA,NA,"Rcpp (>= 0.12.12), pdftools (>= 1.5), curl, rappdirs, digest","Rcpp","magick (>= 1.7), spelling, knitr, tibble, rmarkdown",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.5.3"
"testit","testit","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9",NA,NA,NA,NA,"rstudioapi",NA,"GPL",NA,NA,NA,NA,"no","3.5.3"
"testthat","testthat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.1",NA,"R (>= 3.1)","cli, crayon (>= 1.3.4), digest, magrittr, methods, praise, R6
(>= 2.2.0), rlang (>= 0.3.0), withr (>= 2.0.0)",NA,"covr, curl (>= 0.9.5), devtools, knitr, rmarkdown, usethis,
vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"textreadr","textreadr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9.0",NA,"R (>= 3.2.2)","antiword, curl, data.table, pdftools, readxl, rvest, striprtf,
textshape, tools, utils, xml2",NA,"tesseract, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"textshape","textshape","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.6.0",NA,"R (>= 3.4.0)","data.table, slam, stats, stringi, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"tfruns","tfruns","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4",NA,"R (>= 3.1)","utils, jsonlite (>= 1.2), base64enc, yaml, config, magrittr,
whisker, tidyselect, rlang, rstudioapi (>= 0.7), reticulate",NA,"testthat, knitr",NA,"Apache License 2.0",NA,NA,NA,NA,"no","3.5.3"
"TH.data","TH.data","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-10",NA,"R (>= 2.10.0), survival, MASS",NA,NA,"dplyr, gdata, plyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"tibble","tibble","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1.3",NA,"R (>= 3.1.0)","cli, crayon (>= 1.3.4), fansi (>= 0.4.0), methods, pillar (>=
1.3.1), pkgconfig, rlang (>= 0.3.0), utils",NA,"bench, covr, dplyr, htmltools, import, knitr, mockr,
nycflights13, rmarkdown, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"tidyr","tidyr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.8.3",NA,"R (>= 3.1)","dplyr (>= 0.7.0), glue, magrittr, purrr, Rcpp, rlang, stringi,
tibble, tidyselect (>= 0.2.5), utils","Rcpp","covr, gapminder, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"tidyselect","tidyselect","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.5",NA,"R (>= 3.1)","glue (>= 1.3.0), purrr, rlang (>= 0.2.2), Rcpp (>= 0.12.0)","Rcpp (>= 0.12.0),","covr, dplyr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"tidytext","tidytext","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.1",NA,"R (>= 2.10)","rlang, dplyr, stringr, hunspell, generics, Matrix, tokenizers,
janeaustenr, purrr (>= 0.1.1), methods, stopwords",NA,"readr, tidyr, XML, tm, quanteda, knitr, rmarkdown, ggplot2,
reshape2, wordcloud, topicmodels, NLP, scales, gutenbergr,
testthat, vdiffr, mallet, stm, data.table, broom, textdata",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"tidyverse","tidyverse","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.1",NA,NA,"broom (>= 0.4.2), cli (>= 1.0.0), crayon (>= 1.3.4), dplyr (>=
0.7.4), dbplyr (>= 1.1.0), forcats (>= 0.2.0), ggplot2 (>=
2.2.1), haven (>= 1.1.0), hms (>= 0.3), httr (>= 1.3.1),
jsonlite (>= 1.5), lubridate (>= 1.7.1), magrittr (>= 1.5),
modelr (>= 0.1.1), purrr (>= 0.2.4), readr (>= 1.1.1), readxl
(>= 1.0.0), reprex (>= 0.1.1), rlang (>= 0.1.4), rstudioapi (>=
0.7), rvest (>= 0.3.2), stringr (>= 1.2.0), tibble (>= 1.3.4),
tidyr (>= 0.7.2), xml2 (>= 1.1.1)",NA,"feather (>= 0.3.1), knitr (>= 1.17), rmarkdown (>= 1.7.4)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"timeDate","timeDate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3043.102",NA,"R (>= 2.15.1), graphics, utils, stats, methods",NA,NA,"date, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"timeSeries","timeSeries","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3042.102",NA,"R (>= 2.10), graphics, grDevices, stats, methods, utils,
timeDate (>= 2150.95)",NA,NA,"RUnit, robustbase, xts, PerformanceAnalytics, fTrading",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"tinytest","tinytest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,NA,"parallel, utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"tinytex","tinytex","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.14",NA,NA,"xfun (>= 0.5)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"titanic","titanic","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.1.2)",NA,NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","3.5.3"
"tmap","tmap","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.3",NA,"R (>= 3.0), methods","tmaptools (>= 2.0-1), sf (>= 0.7-1), units (>= 0.6-1), raster
(>= 2.7-15), grid, RColorBrewer, viridisLite, classInt,
htmltools, htmlwidgets, leaflet (>= 2.0.2), leafsync, stats",NA,"lwgeom (>= 0.1-4), rmapshaper, rmarkdown, knitr, png,
cartogram, osmdata, ggplot2, dplyr, tidyr, shiny, testthat,
covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"tmaptools","tmaptools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0-2",NA,"R (>= 3.0), methods","sp, sf (>= 0.7-1), lwgeom (>= 0.1-4), units (>= 0.6-1), grid,
raster (>= 2.7-15), rgdal, rgeos, classInt, KernSmooth,
magrittr, RColorBrewer, viridisLite, stats, dichromat, XML",NA,"tmap (>= 2.0), rmapshaper, osmdata, OpenStreetMap, png,
shiny, shinyjs",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"tokenizers","tokenizers","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.1",NA,"R (>= 3.1.3)","stringi (>= 1.0.1), Rcpp (>= 0.12.3), SnowballC (>= 0.5.1)","Rcpp","covr, knitr, rmarkdown, stopwords (>= 0.9.0), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"tourr","tourr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.6",NA,"R (>= 3.5)","MASS",NA,"TeachingDemos, ash, testthat, colorspace, ggplot2, reshape2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"tree","tree","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-39",NA,"R (>= 2.15.0), grDevices, graphics, stats",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"triebeard","triebeard","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"TSA","TSA","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2",NA,"R (>= 2.5.1)","leaps, locfit, mgcv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"tseries","tseries","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.10-47",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"TTR","TTR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.23-4",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"twitteR","twitteR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.9",NA,"R (>= 2.12.0)","methods, bit64, rjson, DBI (>= 0.3.1), httr (>= 1.0.0)",NA,"RSQLite, RMySQL",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.5.3"
"ucminf","ucminf","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-4",NA,NA,NA,NA,"numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"udapi","udapi","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.3",NA,NA,"httr, curl",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"units","units","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6-3",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","udunits2, NISTunits, measurements, xml2, tibble, pillar (>=
1.3.0), knitr, testthat, ggforce, rmarkdown, magrittr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"UpSetR","UpSetR","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.0",NA,"R (>= 3.0)","ggplot2, gridExtra, plyr, utils, stats, methods, grDevices,
scales",NA,"knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"urca","urca","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-0",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"urltools","urltools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"uroot","uroot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0-10",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"usethis","usethis","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5.1",NA,"R (>= 3.2)","clipr (>= 0.3.0), clisymbols, crayon, curl (>= 2.7), desc, fs
(>= 1.3.0), gh, git2r (>= 0.23), glue (>= 1.3.0), purrr, rlang,
rprojroot (>= 1.2), rstudioapi, stats, utils, whisker, withr,
yaml",NA,"covr, knitr, magick, pkgdown (>= 1.1.0), rmarkdown, roxygen2,
spelling (>= 1.2), styler (>= 1.0.2), testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"utf8","utf8","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.4",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, testthat",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"uuid","uuid","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-2",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"V8","V8","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.3",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"VaRES","VaRES","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0",NA,"R (>= 2.15.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"vctrs","vctrs","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.0",NA,"R (>= 3.2)","backports, ellipsis (>= 0.2.0), digest, glue, rlang (>=
0.4.0), zeallot",NA,"bit64, covr, crayon, generics, knitr, pillar (>= 1.4.1),
pkgdown, rmarkdown, testthat, tibble",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"vdiffr","vdiffr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.1",NA,"R (>= 3.2.0)","devtools, diffobj, fontquiver (>= 0.2.0), freetypeharfbuzz (>=
0.2.5), gdtools, glue, grDevices, htmlwidgets (>= 0.6),
htmltools, purrr (>= 0.2.0), rlang, R6, Rcpp, shiny, testthat
(>= 1.0.0), usethis (>= 1.4.0), xml2 (>= 1.0.0)","freetypeharfbuzz, gdtools, Rcpp, BH","crayon, ggplot2 (>= 3.2.0), roxygen2, rstudioapi, withr, yaml",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"VGAM","VGAM","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-1",NA,"R (>= 3.4.0), methods, stats, stats4, splines",NA,NA,"VGAMdata, MASS, mgcv",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"viridis","viridis","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.1",NA,"R (>= 2.10), viridisLite (>= 0.3.0)","stats, ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, rasterVis, httr, mapproj, vdiffr, svglite (>=
1.2.0), testthat, covr, rmarkdown, rgdal",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"viridisLite","viridisLite","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"visdat","visdat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.3",NA,"R (>= 3.2.2)","ggplot2, tidyr, dplyr, purrr, readr, magrittr, stats, tibble,
glue",NA,"testthat, plotly (>= 4.5.6), knitr, rmarkdown, vdiffr,
gdtools, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"waveslim","waveslim","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7.5.1",NA,"R (>= 2.11.0), graphics, grDevices, stats, utils",NA,NA,"fftw",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.2"
"webshot","webshot","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.1",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"whisker","whisker","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3-2",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"whoami","whoami","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3.0",NA,NA,"httr, jsonlite, utils",NA,"covr, mockery, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
